arm,segment,source,turn,original_token_position,token_index,token_id,token_text,is_displayed,x,raw_cotness,sucat16_cotness,sucat16_toolness,sucat12_cotness,sucat12_toolness,cotness,sucat16_cotness_smoothed,sucat12_cotness_smoothed
plain,user,user,1,143,0,9719,Your,True,0,7.573934226456913e-07,6.277306141555528e-08,0.00011992150393780321,0.051431991159915924,0.7771158218383789,7.573934226456913e-07,6.277306141555528e-08,0.051431991159915924
plain,user,user,1,144,1,49803, workspace,True,1,4.4028813135810196e-05,8.047013579925988e-06,0.0010185298742726445,0.039358772337436676,0.6034172177314758,2.960500656475536e-05,5.385600073755843e-06,0.04338317861159643
plain,user,user,1,145,2,382, is,True,2,3.454694706306327e-06,1.852297600635211e-06,0.00014020228991284966,0.0022227263543754816,0.23494741320610046,1.46619712170702e-05,3.3665700891154823e-06,0.019862920178898742
plain,user,user,1,146,3,7567, located,True,3,3.279182783444412e-05,1.3860118087904993e-05,0.0038973954506218433,0.0006892950623296201,0.02625659480690956,2.4331228079669624e-05,8.963129021803221e-06,0.009636986783395212
plain,user,user,1,147,4,306, in,True,4,0.004142570309340954,0.0010508423438295722,0.39576712250709534,0.049559347331523895,0.6091334223747253,0.002149873979698397,0.0005467072398903292,0.030242076098558404
plain,user,user,1,148,5,70699, `/,True,5,1.29196689613309e-06,4.358633987067151e-07,0.00011840968363685533,0.005311450455337763,0.02295967936515808,0.0010585307351004217,0.00026923606452950507,0.017578901168668552
plain,user,user,1,149,6,92839,workspace,True,6,2.1252164515317418e-05,2.9895851184846833e-05,0.0006407639011740685,0.01889454759657383,0.11043627560138702,0.0005358076759079282,0.0001486236735526694,0.018241904092967276
plain,user,user,1,150,7,190543,/container,True,7,0.004969039466232061,0.003760237479582429,0.46579599380493164,0.0855662152171135,0.9045832753181458,0.0027611161824235716,0.001961512172265647,0.05203606810822498
plain,user,user,1,151,8,12,-,True,8,0.001601685886271298,0.0007475572056137025,0.0037171277217566967,0.2958719730377197,0.6791096925735474,0.0021802665624333912,0.001353346866076023,0.1741926075640971
plain,user,user,1,152,9,16,1,True,9,8.042091212701052e-05,7.348872895818204e-05,0.001180700957775116,0.0018335286295041442,0.013916868716478348,0.001129317419758057,0.000712792255905608,0.0879288261227368
plain,user,user,1,153,10,62102,`.,True,10,0.00010197057417826727,0.00012757457443512976,0.015115824528038502,0.002508935984224081,0.010497327893972397,0.0006153930573380743,0.00042004046996238877,0.04519801640029565
plain,user,user,1,154,11,17511, Using,True,11,3.193650854882435e-06,6.45597083348548e-07,0.0006681656814180315,0.0017150138737633824,0.06550202518701553,0.00030921860447419714,0.00021029182535768198,0.02345120585711175
plain,user,user,1,155,12,634, your,True,12,4.916973011859227e-06,5.374729994400695e-07,0.0025987671688199043,0.0014646766940131783,0.08548414707183838,0.00015704921337790414,0.00010540184522590821,0.012456599160487192
plain,user,user,1,156,13,8437, tools,True,13,0.001222181716002524,0.00015280477236956358,0.3212570250034332,0.011171597056090832,0.9768799543380737,0.0006896479719386613,0.00012910475550856858,0.01181405889074325
plain,user,user,1,157,14,11,",",True,14,3.560814002412371e-05,8.023580448934808e-06,0.016777288168668747,0.03312086686491966,0.15565893054008484,0.00036261807582098853,6.856232037025749e-05,0.022467788003841988
plain,user,user,1,158,15,4843, please,True,15,1.0965391993522644e-05,1.8477995809007552e-06,0.025752650573849678,0.008302238769829273,0.3450230360031128,0.00018678905096925432,3.5204550976412346e-05,0.01538490531062266
plain,user,user,1,159,16,1729, read,True,16,4.622767391992966e-06,1.9964818420703523e-06,0.0011218839790672064,0.023688435554504395,0.5564154982566833,9.570521426609801e-05,1.8600389729544333e-05,0.01953670210825931
plain,user,user,1,160,17,1819, through,True,17,5.389605576056056e-06,2.7268906706012785e-06,0.0006047184579074383,0.016405146569013596,0.8876757025718689,5.0547237657067144e-05,1.0663609923660583e-05,0.017970918365645492
plain,user,user,1,161,18,290, the,True,18,0.003430990967899561,0.0002778395137283951,0.21834611892700195,0.34545841813087463,0.6069204211235046,0.0017407723266268265,0.00014425181662531124,0.18171498056527324
plain,user,user,1,162,19,6508, entire,True,19,7.889021276241692e-07,2.249438892931721e-07,0.000306086236378178,0.03584473580121994,0.4100448787212372,0.0008707797846876827,7.2238311579872e-05,0.10877978862682727
plain,user,user,1,163,20,15961, HTML,True,20,1.0605343447878113e-07,4.3053574927398586e-08,1.8459097191225737e-05,0.1307327151298523,0.5612431168556213,0.0004354427114761879,3.614066536470066e-05,0.11975625711232782
plain,user,user,1,164,21,1974, file,True,21,1.028550627779623e-06,3.4806006965482084e-07,0.0003294091729912907,0.06662829965353012,0.25266721844673157,0.00021823557926576792,1.8244358450365676e-05,0.0931922720495814
plain,user,user,1,165,22,540, at,True,22,8.83832512954541e-07,2.1884220302581525e-07,0.00023083086125552654,0.03573616221547127,0.2047712206840515,0.00010955969293418604,9.231599252291125e-06,0.0644642137078749
plain,user,user,1,166,23,3958, http,True,23,0.004629846662282944,0.0011919488897547126,0.20702584087848663,0.42749693989753723,0.5677149891853333,0.002369703312323622,0.0006005902797512259,0.24598058762192507
plain,user,user,1,167,24,1684,://,True,24,3.64098082172859e-06,1.0624067954267957e-06,9.787904855329543e-05,0.042385611683130264,0.21638666093349457,0.0011866721113155982,0.0003008263343396646,0.14418309661872603
plain,user,user,1,168,25,12807,127,True,25,4.259864454070339e-06,7.200416689556732e-07,7.380400347756222e-05,0.00592650705948472,0.12190333008766174,0.0005954659790751764,0.00015077318576834397,0.0750548008090135
plain,user,user,1,169,26,13,.,True,26,0.008327249437570572,0.006797082256525755,0.15658660233020782,0.5479704141616821,0.447187602519989,0.004461357737126012,0.00347392774590648,0.3115126092470958
plain,user,user,1,170,27,15,0,True,27,5.846892963745631e-05,1.3233034223958384e-05,0.007042365614324808,0.1754099577665329,0.7412702441215515,0.002259913325180715,0.001743580383619173,0.24346128325330338
plain,user,user,1,171,28,13,.,True,28,1.28961619338952e-06,5.432153784568072e-07,0.01091841422021389,0.11338058114051819,0.7724846005439758,0.001130601468583545,0.0008720617978754851,0.17842093207576368
plain,user,user,1,172,29,15,0,True,29,8.396145858569071e-05,1.66510963026667e-05,0.0005939696566201746,0.00032944290433079004,0.02300979197025299,0.0006072814630972381,0.00044435644669074426,0.08937518740711692
plain,user,user,1,173,30,13,.,True,30,7.675277629459742e-06,2.608930344649707e-06,0.0017555709928274155,0.005051175132393837,0.2461054027080536,0.0003074783702237422,0.0002234826884148446,0.047213181250122166
plain,user,user,1,174,31,16,1,True,31,8.699305180925876e-05,4.4817047637479845e-06,0.0005788861308246851,0.06079819053411484,0.8469750881195068,0.00019723571099083262,0.00011398219656380123,0.05400568589370001
