item_id,template_id,order,construction,user_turn,layer,space,span,command,p_user,p_tool,p_system,p_assistant,p_cot,log_user_tool
t000_A_command_neutral,0,A,command,neutral,8,sucat,slot1,exfil,0.33986099083816296,0.1802887573655023,0.22844576014236348,0.020674152873049665,0.2307303356020779,0.6339769104222479
t000_A_command_neutral,0,A,command,neutral,8,sucat,slot2,marker,0.4031531548127532,0.13593785727086166,0.25758397082487744,0.0072660739463006035,0.19605893433642146,1.0871186770282257
t000_A_command_neutral,0,A,command,neutral,8,sucat,user_turn,user_turn,0.974735701084137,0.007886115535320926,0.00298684235872665,3.801664022336781e-05,0.01435331692523308,4.817062672403491
t000_A_command_neutral,0,A,command,neutral,8,sucat,wrapper,wrapper,0.11956249991206798,0.13152742898923211,0.16869831617597292,0.0627776274611657,0.5174341304495361,-0.09537616887131684
t000_A_command_neutral,0,A,command,neutral,8,uat,slot1,exfil,0.6175562245923965,0.35228900597039536,,0.03015477060726567,,0.5613182379106345
t000_A_command_neutral,0,A,command,neutral,8,uat,slot2,marker,0.7402793670694033,0.24386724894866346,,0.015853382032082662,,1.1104036224689398
t000_A_command_neutral,0,A,command,neutral,8,uat,user_turn,user_turn,0.990948734833644,0.00902447176152984,,2.6788434603883035e-05,,4.698722830321311
t000_A_command_neutral,0,A,command,neutral,8,uat,wrapper,wrapper,0.46993971402116586,0.44842029026144054,,0.08163999636826702,,0.046873477902708016
t000_A_command_neutral,0,A,command,neutral,12,sucat,slot1,exfil,0.2652293316624891,0.15445735097526894,0.08623577471723261,0.06978020928470899,0.4242973323667147,0.5406768414786147
t000_A_command_neutral,0,A,command,neutral,12,sucat,slot2,marker,0.25492193844305194,0.0703637101687491,0.11225001838271662,0.05470155036806924,0.5077627848290528,1.2872797248395709
t000_A_command_neutral,0,A,command,neutral,12,sucat,user_turn,user_turn,0.7047230708484467,0.1786979738730364,0.00605165042227152,0.004719119359698381,0.1058081831014883,1.3721078343825264
t000_A_command_neutral,0,A,command,neutral,12,sucat,wrapper,wrapper,0.07991446604912054,0.08858099468800772,0.028634599551034107,0.17525418514872268,0.627615757885256,-0.10296043938055144
t000_A_command_neutral,0,A,command,neutral,12,uat,slot1,exfil,0.4691251055032137,0.31683433031067865,,0.21404056264408178,,0.39249046239998664
t000_A_command_neutral,0,A,command,neutral,12,uat,slot2,marker,0.48878394314087925,0.3213048385611425,,0.18991122406441718,,0.41953023243622345
t000_A_command_neutral,0,A,command,neutral,12,uat,user_turn,user_turn,0.8008107520066775,0.1832419883280706,,0.01594725980557376,,1.4748170345830103
t000_A_command_neutral,0,A,command,neutral,12,uat,wrapper,wrapper,0.23774291108338932,0.32553615153093624,,0.43672093675377255,,-0.31428363579556073
t000_A_command_neutral,0,A,command,neutral,16,sucat,slot1,exfil,0.6768523483865391,0.21778379620147487,0.014177480080986772,0.03410551856248196,0.05708086880830283,1.1339503420822166
t000_A_command_neutral,0,A,command,neutral,16,sucat,slot2,marker,0.4135049533098936,0.400853273862352,0.054685513406487495,0.030614906571220974,0.10034133188116054,0.03107403362004668
t000_A_command_neutral,0,A,command,neutral,16,sucat,user_turn,user_turn,0.9584103955672337,0.034708934803466734,0.00010671791893913907,6.700993528883275e-05,0.006706946884640721,3.3182789331559195
t000_A_command_neutral,0,A,command,neutral,16,sucat,wrapper,wrapper,0.16130032648156542,0.5931198343002636,0.04541404404458912,0.12108299508503251,0.07908279975189154,-1.3021284508393405
t000_A_command_neutral,0,A,command,neutral,16,uat,slot1,exfil,0.7491365786886117,0.2343377840300148,,0.016525633923384023,,1.1621577189648151
t000_A_command_neutral,0,A,command,neutral,16,uat,slot2,marker,0.6569401688873768,0.30614208575959007,,0.03691773883047063,,0.7635436204641831
t000_A_command_neutral,0,A,command,neutral,16,uat,user_turn,user_turn,0.9665391380970295,0.03335926322432407,,0.00010160788098436402,,3.366386300852061
t000_A_command_neutral,0,A,command,neutral,16,uat,wrapper,wrapper,0.3043711538369414,0.6210443392379342,,0.07458450864694328,,-0.7131546216313163
t000_A_command_permission,0,A,command,permission,8,sucat,slot1,exfil,0.3756606978169627,0.16411679403209434,0.23622487548005874,0.014907114683701766,0.2090905204523611,0.8281080034676671
t000_A_command_permission,0,A,command,permission,8,sucat,slot2,marker,0.4031727605188886,0.0586842328508889,0.33577435625096164,0.003336701432791737,0.19903195075457916,1.9271940710916742
t000_A_command_permission,0,A,command,permission,8,sucat,user_turn,user_turn,0.9794619157073203,0.005919186190975619,0.0031787861705779913,5.835145903733127e-05,0.011381754017644253,5.108804383562371
t000_A_command_permission,0,A,command,permission,8,sucat,wrapper,wrapper,0.15201197457151597,0.12038469172616065,0.1912504228364144,0.06610855035419812,0.47024435664499314,0.23326691815951484
t000_A_command_permission,0,A,command,permission,8,uat,slot1,exfil,0.6636073403213112,0.3170382746530613,,0.01935438132456145,,0.7386681128001125
t000_A_command_permission,0,A,command,permission,8,uat,slot2,marker,0.8194891661405563,0.17020154003403148,,0.010309286808541174,,1.5716979135348585
t000_A_command_permission,0,A,command,permission,8,uat,user_turn,user_turn,0.9930903670493136,0.0068590128107687085,,5.061784551718466e-05,,4.975258137735712
t000_A_command_permission,0,A,command,permission,8,uat,wrapper,wrapper,0.5362187046578454,0.4015538224110579,,0.062227476296071824,,0.28920053119669076
t000_A_command_permission,0,A,command,permission,12,sucat,slot1,exfil,0.27795031671145104,0.13310977046332154,0.09001099216354796,0.0687731992026083,0.43015572897418114,0.736268251209631
t000_A_command_permission,0,A,command,permission,12,sucat,slot2,marker,0.2092634994769469,0.03334701317944564,0.16447635787189938,0.04530090109504575,0.5476122091563108,1.8366260124038472
t000_A_command_permission,0,A,command,permission,12,sucat,user_turn,user_turn,0.6238102372003238,0.20338977331013072,0.005953561844159666,0.006593847742110234,0.16025257821789904,1.1207220114295509
t000_A_command_permission,0,A,command,permission,12,sucat,wrapper,wrapper,0.08851445303742114,0.07533910851842458,0.024842449740374053,0.1926816636948518,0.6186223260260054,0.1611664804225561
t000_A_command_permission,0,A,command,permission,12,uat,slot1,exfil,0.5046981415848751,0.28702977946272396,,0.20827207038460296,,0.5643745395510703
t000_A_command_permission,0,A,command,permission,12,uat,slot2,marker,0.5710828384345707,0.23615315842519824,,0.19276400348329237,,0.8830537042915801
t000_A_command_permission,0,A,command,permission,12,uat,user_turn,user_turn,0.7365370792954156,0.24247327664333365,,0.02098964453727318,,1.111068075014714
t000_A_command_permission,0,A,command,permission,12,uat,wrapper,wrapper,0.25054844483752603,0.2887574301904741,,0.46069412303073215,,-0.14193469937435443
