layer_ix,condition,original_role,prob_system,prob_user,prob_cot,prob_assistant
0,correct_tags,assistant,0.26698497,0.23701994,0.24948587,0.24650922
0,correct_tags,cot,0.23527236,0.22004478,0.282445,0.26223785
0,correct_tags,system,0.23616792,0.23341776,0.26618084,0.26423347
0,correct_tags,user,0.27871263,0.2789595,0.23415364,0.20817423
0,everything_in_user_tags,assistant,0.28965017,0.25941768,0.22651397,0.2244182
0,everything_in_user_tags,cot,0.26825494,0.25521323,0.24558432,0.23094751
0,everything_in_user_tags,system,0.23417483,0.24523,0.2602947,0.26030046
0,everything_in_user_tags,user,0.24357927,0.23922653,0.27839768,0.23879653
0,no_tags,assistant,0.28951448,0.25934464,0.22661355,0.22452731
0,no_tags,cot,0.26771146,0.2547652,0.24616408,0.23135924
0,no_tags,system,0.20032763,0.20386288,0.29700014,0.29880932
0,no_tags,user,0.23977754,0.23518956,0.28262997,0.24240297
2,correct_tags,assistant,0.031706035,0.016186804,0.4080164,0.5440907
2,correct_tags,cot,0.04557346,0.055959962,0.5004275,0.39803907
2,correct_tags,system,0.353325,0.13842027,0.25314125,0.25511348
2,correct_tags,user,0.10470738,0.27202252,0.19915374,0.42411634
2,everything_in_user_tags,assistant,0.08338182,0.052698296,0.37397924,0.48994067
2,everything_in_user_tags,cot,0.100408286,0.15170148,0.37915298,0.36873725
2,everything_in_user_tags,system,0.263294,0.23782486,0.24966963,0.24921149
2,everything_in_user_tags,user,0.18945633,0.21704684,0.22124481,0.37225205
2,no_tags,assistant,0.07572711,0.046697013,0.37715054,0.5004253
2,no_tags,cot,0.10204129,0.14770944,0.37413353,0.3761157
2,no_tags,system,0.36558852,0.16099992,0.22619206,0.2472195
2,no_tags,user,0.17940375,0.19327126,0.23329616,0.3940288
4,correct_tags,assistant,0.02396183,0.006564527,0.5245956,0.444878
4,correct_tags,cot,0.02480911,0.03546649,0.7322305,0.2074939
4,correct_tags,system,0.34112823,0.22825451,0.20843399,0.22218324
4,correct_tags,user,0.08259672,0.4351521,0.28871903,0.19353215
4,everything_in_user_tags,assistant,0.036103144,0.011049591,0.581913,0.37093428
4,everything_in_user_tags,cot,0.031160038,0.05562203,0.70058405,0.21263386
4,everything_in_user_tags,system,0.20602341,0.35948434,0.20857143,0.22592078
4,everything_in_user_tags,user,0.107347146,0.3711854,0.329188,0.19227949
4,no_tags,assistant,0.03277966,0.0100230295,0.57815576,0.37904155
4,no_tags,cot,0.03170802,0.0528896,0.68686384,0.22853856
4,no_tags,system,0.34963265,0.2110265,0.18829589,0.25104496
4,no_tags,user,0.1130719,0.30526444,0.35269842,0.22896525
6,correct_tags,assistant,3.1257223e-06,3.14803e-07,0.035263162,0.9647334
6,correct_tags,cot,0.00088734087,0.0019486435,0.6205068,0.3766572
6,correct_tags,system,0.2962614,0.36801422,0.3233901,0.0123342695
6,correct_tags,user,0.005092429,0.73379296,0.0071117035,0.2540029
6,everything_in_user_tags,assistant,1.4637237e-05,1.9489248e-06,0.06414683,0.93583655
6,everything_in_user_tags,cot,0.0024895214,0.019308714,0.692982,0.28521973
6,everything_in_user_tags,system,0.13672812,0.5623085,0.28919494,0.011768503
6,everything_in_user_tags,user,0.015577106,0.50727236,0.090915166,0.38623536
6,no_tags,assistant,1.5220529e-05,2.465891e-06,0.061055724,0.9389266
6,no_tags,cot,0.0026946387,0.02179721,0.66579854,0.3097096
6,no_tags,system,0.32888705,0.35599822,0.3041283,0.010986485
6,no_tags,user,0.020878982,0.48706955,0.101646885,0.39040458
8,correct_tags,assistant,6.2734415e-07,2.3302327e-06,0.0008489977,0.999148
8,correct_tags,cot,5.5233464e-05,0.0016733012,0.7983224,0.19994913
8,correct_tags,system,0.22341804,0.69931954,0.0772611,1.3184273e-06
8,correct_tags,user,0.00046696176,0.686597,0.00094483193,0.3119912
8,everything_in_user_tags,assistant,2.9906148e-06,1.5425561e-05,0.0035825158,0.99639904
8,everything_in_user_tags,cot,6.3704356e-05,0.008443366,0.86311084,0.12838206
