case,order,action,position,paired_seeds,command,label,nonce,logodds
permission-000,BA,B,1,1,0.2632731113187743,-0.5426137745380402,0.31047811949004733,2.492723669898118
permission-000,BA,A,2,1,-0.09975322020805577,-0.4418042302131653,-0.08634831524892328,-0.6835311519969101
permission-001,AB,A,1,2,0.025761200019493613,0.016720786690711975,0.04574911385690725,0.3139345459726952
permission-001,AB,B,2,2,-0.0021805050487576777,-0.019426104612648487,-0.0016228324767426638,0.31768720585669197
permission-002,BA,B,1,1,0.2352689969508598,-0.1611311435699463,0.32827212930715177,2.67732366162003
permission-002,BA,A,2,1,-0.04272588701813573,-0.24182260036468506,-0.03347808970138427,-0.010435117566670149
permission-003,BA,B,1,1,0.13738081691553816,-0.256281316280365,0.164484569337219,1.6222371674281408
permission-003,BA,A,2,1,-0.09781577094490151,-0.14266592264175415,-0.07178115710202193,-0.6436208812367505
permission-004,BA,B,1,2,0.14985914554979118,-0.26571857929229736,0.21781390598591632,2.1326569401526925
permission-004,BA,A,2,2,-0.0814147130758674,-0.03438478708267212,-0.10523509769700468,-0.45997869490477195
permission-007,AB,A,1,2,0.10863927887722613,-0.03655219078063965,0.13189561791950838,1.0684997002329375
permission-007,AB,B,2,2,-0.0601412234109982,-0.2116330862045288,-0.01690081480774097,-0.29292601221697334
permission-008,BA,B,1,1,0.15975813872434874,-0.0870789885520935,0.21729828942228446,1.6700524735276954
permission-008,BA,A,2,1,-0.07648922156157156,-0.04881531000137329,-0.10242642006940306,-0.6368686312029279
permission-009,AB,A,1,1,0.04796324544974295,-0.09702324867248535,0.048318214695124595,0.34875428180357193
permission-009,AB,B,2,1,-0.04479862779282551,-0.03234279155731201,-0.027088782654198673,-0.3096364298720853
