prompt_key,base_message_ix,base_message_type,mean,size
basic_no_format,1.0,user,0.16001973607965228,116
basic_no_format,2.0,cot,0.8032325600227582,102
basic_no_format,3.0,assistant,0.03879063836695984,120
basic_no_format,4.0,user,0.23483894876127426,40
basic_no_format,5.0,cot,0.0694179581866973,80
basic_no_format,6.0,assistant,0.0015193811484523778,120
everything_in_user_tags,1.0,user,0.14899416992232026,116
everything_in_user_tags,2.0,cot,0.8096252296979106,102
everything_in_user_tags,3.0,assistant,0.03873468019112429,120
everything_in_user_tags,4.0,user,0.23207173900107336,40
everything_in_user_tags,5.0,cot,0.06925373354275413,80
everything_in_user_tags,6.0,assistant,0.0019247683890184612,120
proper_tags,1.0,user,0.11985066820262448,116
proper_tags,2.0,cot,0.7542603315554873,102
proper_tags,3.0,assistant,0.01497314547426879,120
proper_tags,4.0,user,0.0371101837370378,40
proper_tags,5.0,cot,0.025140478990923226,80
proper_tags,6.0,assistant,5.984942400995838e-05,120
