prompt_ix,prompt_key,token_ix,token,token_id,base_message_ix,base_message_type,segment_token_ix,seg_ix,sample_ix,p_system,p_user,p_cot,p_assistant,prob
0,proper_tags,0,<|startoftext|>,199998,,,,,0,0.9995470473076826,0.0004529526919496192,5.252346036230343e-15,3.623344151687733e-13,5.252346036230343e-15
0,proper_tags,1,<|start|>,200006,,,,,1,0.6874085590990429,0.0013926320564438262,0.303261435778836,0.007937373065677296,0.303261435778836
0,proper_tags,2,system,17360,,,,,2,0.5135033019516546,0.0008887050352875309,0.4850835189180937,0.0005244740949641007,0.4850835189180937
0,proper_tags,3,<|message|>,200008,,,,,3,0.9257733928517987,0.01889418474552368,0.05512092196034927,0.0002115004423282922,0.05512092196034927
0,proper_tags,4,You,3575,0.0,system,1.0,0.0,4,0.18447842883687784,0.010395479868108602,0.8051222569467384,3.834348275110237e-06,0.8051222569467384
0,proper_tags,5, are,553,0.0,system,2.0,0.0,5,0.02355368262173958,0.0005707516584200496,0.9758749863035158,5.794163246241604e-07,0.9758749863035158
0,proper_tags,6, Chat,17554,0.0,system,3.0,0.0,6,0.1419234072725754,0.14383391427346653,0.714235910454674,6.7679992839368035e-06,0.714235910454674
0,proper_tags,7,GPT,162016,0.0,system,4.0,0.0,7,0.0017061010473289856,0.0013152389651425666,0.9969780661483344,5.938391939458923e-07,0.9969780661483344
0,proper_tags,8,",",11,0.0,system,5.0,0.0,8,0.0021662415644700126,0.002027874050754182,0.9958058438433446,4.054143116164956e-08,0.9958058438433446
0,proper_tags,9, a,261,0.0,system,6.0,0.0,9,0.06437458258700768,0.8917512282011418,0.04387416513184164,2.4080008917280467e-08,0.04387416513184164
0,proper_tags,10, large,4410,0.0,system,7.0,0.0,10,0.031135497312424033,0.8117312338627994,0.15713145298291442,1.8158418620715752e-06,0.15713145298291442
0,proper_tags,11, language,6439,0.0,system,8.0,0.0,11,0.8036984559534204,0.1527427535254549,0.04113038751013184,0.002428403010992999,0.04113038751013184
0,proper_tags,12, model,2359,0.0,system,9.0,0.0,12,0.09052094358783729,0.2999809611792907,0.6094836658097789,1.4429423093271903e-05,0.6094836658097789
0,proper_tags,13, trained,22203,0.0,system,10.0,0.0,13,0.48717042159814933,0.17977092244746798,0.3330364313055676,2.2224648815127427e-05,0.3330364313055676
0,proper_tags,14, by,656,0.0,system,11.0,0.0,14,0.9087005266835686,0.0709582974101919,0.020339824073291653,1.3518329477707012e-06,0.020339824073291653
0,proper_tags,15, Open,7788,0.0,system,12.0,0.0,15,0.02979369538027158,4.2401875715403664e-05,0.9700538064194751,0.00011009632453791119,0.9700538064194751
0,proper_tags,16,AI,17527,0.0,system,13.0,0.0,16,0.6299830971060727,0.030920886007961956,0.33909545697803356,5.599079316659941e-07,0.33909545697803356
0,proper_tags,17,".
",558,0.0,system,14.0,0.0,17,0.5145761916856426,0.0347060976651452,0.45071767629553544,3.435367661177117e-08,0.45071767629553544
0,proper_tags,18,Knowledge,87447,0.0,system,15.0,0.0,18,0.4747759682466202,0.477404459564436,0.0478170755543846,2.496634559221931e-06,0.0478170755543846
0,proper_tags,19, cutoff,100594,0.0,system,16.0,0.0,19,0.020564021170029444,0.9161404429703421,0.06329484264068606,6.932189422037443e-07,0.06329484264068606
0,proper_tags,20,:,25,0.0,system,17.0,0.0,20,0.8667462324927051,0.12415819550080714,0.0090955623659579,9.640529944084285e-09,0.0090955623659579
0,proper_tags,21, ,220,0.0,system,18.0,0.0,21,0.3927957906656466,0.607060938273311,0.00013710586409792117,6.165196944579641e-06,0.00013710586409792117
0,proper_tags,22,202,1323,0.0,system,19.0,0.0,22,0.19926582883346375,0.8003204020775114,0.0004134632073355767,3.058816893788899e-07,0.0004134632073355767
0,proper_tags,23,4,19,0.0,system,20.0,0.0,23,0.021342262667044296,0.9569804608347329,0.021676721745764026,5.547524587767388e-07,0.021676721745764026
0,proper_tags,24,-,12,0.0,system,21.0,0.0,24,0.005944386220187514,0.991275697148948,0.0027799144956898053,2.135174507856411e-09,0.0027799144956898053
0,proper_tags,25,06,3218,0.0,system,22.0,0.0,25,0.0026023088341290894,0.9972837104682176,0.00011395235424688101,2.8343406387020204e-08,0.00011395235424688101
0,proper_tags,26,"
",198,0.0,system,23.0,0.0,26,0.005658688866568271,0.9730265856546946,0.021314712612659187,1.2866078013303959e-08,0.021314712612659187
0,proper_tags,27,Current,6576,0.0,system,24.0,0.0,27,0.18330998224418976,0.7370081392158648,0.07958091735156754,0.00010096118837777601,0.07958091735156754
0,proper_tags,28, date,3521,0.0,system,25.0,0.0,28,0.04414945078193798,0.47463201428783003,0.4811644827183889,5.4052211843043396e-05,0.4811644827183889
0,proper_tags,29,:,25,0.0,system,26.0,0.0,29,0.008513155317359715,0.9523417591507183,0.03913875159655508,6.333935366735427e-06,0.03913875159655508
0,proper_tags,30, ,220,0.0,system,27.0,0.0,30,0.1837059298704598,0.811654452971655,0.0045968957204537055,4.272143743158966e-05,0.0045968957204537055
0,proper_tags,31,202,1323,0.0,system,28.0,0.0,31,0.17836108173916224,0.8213450743441454,0.0002936440254279443,1.9989126441041095e-07,0.0002936440254279443
