prompt_ix,prompt_key,token_ix,token,token_id,base_message_ix,base_message_type,segment_token_ix,seg_ix,sample_ix,display_token_ix,p_system,p_user,p_cot,p_assistant,prob,target_role,layer_ix
0,proper_tags,100,I'm,15390,1.0,user,1.0,1.0,100,1,9.235243661280621e-05,0.9983780327880776,0.001529609362242705,5.413066910283424e-09,0.001529609362242705,cot,12
0,proper_tags,101, H,487,1.0,user,2.0,1.0,101,2,6.617645646750016e-05,0.9999297660882064,4.057086950315821e-06,3.6837591434963366e-10,4.057086950315821e-06,cot,12
0,proper_tags,102,anan,19035,1.0,user,3.0,1.0,102,3,5.572969240311896e-05,0.9999413359935366,2.933387903802421e-06,9.26156423946382e-10,2.933387903802421e-06,cot,12
0,proper_tags,103,",",11,1.0,user,4.0,1.0,103,4,0.00016717193279916482,0.9997859670861564,4.6847052922214436e-05,1.3928122228756994e-08,4.6847052922214436e-05,cot,12
0,proper_tags,104, and,326,1.0,user,5.0,1.0,104,5,0.00014909200558706654,0.9995714366272987,0.0002794693079690455,2.059144996876481e-09,0.0002794693079690455,cot,12
0,proper_tags,105, I,357,1.0,user,6.0,1.0,105,6,0.02238568163088522,0.2198396330591353,0.7577421351277563,3.25501822231599e-05,0.7577421351277563,cot,12
0,proper_tags,106, want,1682,1.0,user,7.0,1.0,106,7,0.00011300114483412608,0.9998166431164688,7.035331383625147e-05,2.424860816658761e-09,7.035331383625147e-05,cot,12
0,proper_tags,107, to,316,1.0,user,8.0,1.0,107,8,0.005213293200666908,0.9522108351690858,0.04257561209745196,2.595327950596405e-07,0.04257561209745196,cot,12
0,proper_tags,108, apply,6096,1.0,user,9.0,1.0,108,9,0.00016359253081084474,0.9995395335163012,0.00029678775666924746,8.619621884161835e-08,0.00029678775666924746,cot,12
0,proper_tags,109, to,316,1.0,user,10.0,1.0,109,10,0.00043643630823598356,0.9994265106299484,0.0001370235515120526,2.9510303680472728e-08,0.0001370235515120526,cot,12
0,proper_tags,110, Ne,4475,1.0,user,11.0,1.0,110,11,8.967970579277579e-05,0.9997963872435232,0.00011390837269830164,2.4677985943374845e-08,0.00011390837269830164,cot,12
0,proper_tags,111,el,296,1.0,user,12.0,1.0,111,12,0.00014876269957271086,0.9998446438571805,6.541838236511117e-06,5.16050102573454e-08,6.541838236511117e-06,cot,12
0,proper_tags,112, N,478,1.0,user,13.0,1.0,112,13,0.00014013632075968627,0.9998505924389439,9.222530259100547e-06,4.871003755100452e-08,9.222530259100547e-06,cot,12
0,proper_tags,113,anda,4711,1.0,user,14.0,1.0,113,14,0.00013175277340640268,0.9998535284044207,1.4649848980817772e-05,6.897319199532479e-08,1.4649848980817772e-05,cot,12
0,proper_tags,114,'s,885,1.0,user,15.0,1.0,114,15,7.320176685372456e-06,0.9999843943364637,8.28013075246949e-06,5.356098424306265e-09,8.28013075246949e-06,cot,12
0,proper_tags,115, M,391,1.0,user,16.0,1.0,115,16,4.80494764523567e-06,0.9999913284790581,3.865359644489294e-06,1.2136521420838244e-09,3.865359644489294e-06,cot,12
0,proper_tags,116,ATS,42222,1.0,user,17.0,1.0,116,17,0.0011121476256748314,0.9986824469231659,0.00020487459436896037,5.30856790386316e-07,0.00020487459436896037,cot,12
