case_id,arm_id,turn,span,n_tokens,p_system,p_user,p_cot,p_assistant,p_tool
new-000-forgery,reverse_a16,1,page,26281,1.1981324879484544e-17,1.2520160363701584e-22,0.05417632311582565,0.9458236694335938,4.41838322246808e-21
new-000-forgery,reverse_a16,1,payload,325,3.584750966259831e-18,3.1833702830050026e-24,0.3418704569339752,0.6581295728683472,8.04739057131622e-21
new-000-forgery,reverse_a16,1,header,11,7.694811756664421e-07,2.411686637060484e-06,0.21111252903938293,0.7831622958183289,0.00572201469913125
new-000-forgery,random_1_a16,1,page,26281,0.015828914940357208,0.6873757243156433,0.06027590110898018,0.2335306704044342,0.002988843945786357
new-000-forgery,random_1_a16,1,payload,325,0.012806486338376999,0.2665998637676239,0.6602641940116882,0.053826846182346344,0.006502634845674038
new-000-forgery,random_1_a16,1,header,11,7.694811756664421e-07,2.411686637060484e-06,0.21111252903938293,0.7831622958183289,0.00572201469913125
new-000-forgery,role_a16,1,page,26281,0.004289597738534212,0.9532518982887268,2.784310414573652e-18,6.747302330427696e-18,0.04245851933956146
new-000-forgery,role_a16,1,payload,325,0.004985550418496132,0.3817097246646881,1.226007192461542e-18,1.4822561608551328e-21,0.6133047342300415
new-000-forgery,role_a16,1,header,11,7.694811756664421e-07,2.411686637060484e-06,0.21111252903938293,0.7831622958183289,0.00572201469913125
new-000-forgery,random_0_a16,1,page,26281,0.1959875375032425,0.003116587409749627,0.03232134133577347,0.7612386345863342,0.0073359692469239235
new-000-forgery,random_0_a16,1,payload,325,0.15455573797225952,0.0006412527873180807,0.28484228253364563,0.548485279083252,0.011475466191768646
new-000-forgery,random_0_a16,1,header,11,7.694811756664421e-07,2.411686637060484e-06,0.21111252903938293,0.7831622958183289,0.00572201469913125
new-000-forgery,random_2_a16,1,page,26281,0.8068891167640686,0.015478535555303097,0.044551748782396317,0.12587876617908478,0.007201890926808119
new-000-forgery,random_2_a16,1,payload,325,0.3930862545967102,0.00207447144202888,0.5377033948898315,0.04382575303316116,0.023310109972953796
