prompt_ix,prompt_key,token_ix,token,token_id,base_message_ix,base_message_type,segment_token_ix,sample_ix,seg_ix,display_token_ix,prob,p_system,p_user,p_cot,p_assistant,layer_ix,target_role
0,proper_tags,65,Hi,12194,1.0,user,1.0,65,1.0,1,4.512097097988064e-06,1.2094541895368367e-05,0.9999833933574134,4.512097097988064e-06,3.5931937775192025e-12,12,cot
0,proper_tags,66,!,0,1.0,user,2.0,66,1.0,2,8.11602842835282e-07,4.2657845181237126e-05,0.9999565305481884,8.11602842835282e-07,3.787473504609479e-12,12,cot
0,proper_tags,67, I'm,5477,1.0,user,3.0,67,1.0,3,0.0003143494285028113,4.0506293379528965e-05,0.9996451421387458,0.0003143494285028113,2.1393717532374356e-09,12,cot
0,proper_tags,68, designing,35623,1.0,user,4.0,68,1.0,4,3.808087926068465e-06,1.7471076016239116e-05,0.9999787207945572,3.808087926068465e-06,4.15006608822135e-11,12,cot
0,proper_tags,69, the,290,1.0,user,5.0,69,1.0,5,3.741680849221826e-05,0.0005670717254194364,0.9993954900002855,3.741680849221826e-05,2.1465802726373453e-08,12,cot
0,proper_tags,70, opening,12218,1.0,user,6.0,70,1.0,6,3.454553172617515e-05,0.00010645031895140226,0.9998586796396268,3.454553172617515e-05,3.2450969539269034e-07,12,cot
0,proper_tags,71, figure,11310,1.0,user,7.0,71,1.0,7,2.5624251956096145e-06,0.00014603560009338618,0.9998512805018182,2.5624251956096145e-06,1.2147289285133587e-07,12,cot
0,proper_tags,72, for,395,1.0,user,8.0,72,1.0,8,7.929449830297331e-07,4.1604581901985646e-05,0.9999576023746578,7.929449830297331e-07,9.84570171611247e-11,12,cot
0,proper_tags,73, a,261,1.0,user,9.0,73,1.0,9,1.7088795433486683e-05,0.0001040230936940771,0.9998788876402581,1.7088795433486683e-05,4.70614341359245e-10,12,cot
0,proper_tags,74, M,391,1.0,user,10.0,74,1.0,10,1.1009511317181363e-06,3.619000812741246e-05,0.9999627090357909,1.1009511317181363e-06,4.9500795896502116e-12,12,cot
0,proper_tags,75,ATS,42222,1.0,user,11.0,75,1.0,11,7.242316893405809e-07,7.465606248833902e-05,0.9999246187117231,7.242316893405809e-07,9.940993728382064e-10,12,cot
0,proper_tags,76, report,3019,1.0,user,12.0,76,1.0,12,2.712715584431444e-07,2.2178054450405166e-05,0.9999775506361468,2.712715584431444e-07,3.784436784701335e-11,12,cot
0,proper_tags,77, that,484,1.0,user,13.0,77,1.0,13,5.028441386397912e-07,2.4388260021090807e-05,0.9999751086810572,5.028441386397912e-07,2.1478308430028394e-10,12,cot
0,proper_tags,78, I,357,1.0,user,14.0,78,1.0,14,1.0171945579339034e-06,0.00013738132628748396,0.9998615945802886,1.0171945579339034e-06,6.898865933203173e-09,12,cot
0,proper_tags,79, hope,5498,1.0,user,15.0,79,1.0,15,3.054385790232892e-05,0.003197283531757824,0.9967720941474185,3.054385790232892e-05,7.84629213662554e-08,12,cot
0,proper_tags,80, to,316,1.0,user,16.0,80,1.0,16,5.6794359701590305e-06,0.005969314656245971,0.994023703830773,5.6794359701590305e-06,1.3020770108244257e-06,12,cot
0,proper_tags,81, discuss,5381,1.0,user,17.0,81,1.0,17,1.600024949407308e-05,0.0001328947826917362,0.9998510515497305,1.600024949407308e-05,5.341808331813956e-08,12,cot
0,proper_tags,82, with,483,1.0,user,18.0,82,1.0,18,2.310118062574862e-05,6.615362849814716e-05,0.9999107366627077,2.310118062574862e-05,8.528168443716968e-09,12,cot
0,proper_tags,83, Ne,4475,1.0,user,19.0,83,1.0,19,5.862036335444292e-06,7.587950768587135e-06,0.9999865493816894,5.862036335444292e-06,6.312066244486788e-10,12,cot
0,proper_tags,84,el,296,1.0,user,20.0,84,1.0,20,1.547392055109186e-06,2.5349404477435565e-05,0.9999731026971403,1.547392055109186e-06,5.063270205526813e-10,12,cot
0,proper_tags,85,.,13,1.0,user,21.0,85,1.0,21,8.582903752615144e-05,0.0002470640498918968,0.9996671026549495,8.582903752615144e-05,4.257632467591724e-09,12,cot
0,proper_tags,86, I,357,1.0,user,22.0,86,1.0,22,5.8724214878048876e-06,8.713411589737017e-05,0.9999069933060906,5.8724214878048876e-06,1.5652447562636243e-10,12,cot
0,proper_tags,87, want,1682,1.0,user,23.0,87,1.0,23,3.412763268456941e-05,0.00031838261575896896,0.9996474889952492,3.412763268456941e-05,7.563073071456771e-10,12,cot
0,proper_tags,88, it,480,1.0,user,24.0,88,1.0,24,3.144057093798158e-05,0.004464875734653865,0.9955013718095153,3.144057093798158e-05,2.3118848928143964e-06,12,cot
0,proper_tags,89, to,316,1.0,user,25.0,89,1.0,25,9.34327876751151e-06,9.32605179241042e-05,0.999897395462706,9.34327876751151e-06,7.406023218204457e-10,12,cot
0,proper_tags,90, explain,16644,1.0,user,26.0,90,1.0,26,7.230609906148861e-06,0.0003916597927463189,0.9996011089611869,7.230609906148861e-06,6.361606582440949e-10,12,cot
0,proper_tags,91, a,261,1.0,user,27.0,91,1.0,27,4.923658435049643e-07,0.00016375079578812314,0.9998357565006475,4.923658435049643e-07,3.377207143883367e-10,12,cot
0,proper_tags,92, role,5430,1.0,user,28.0,92,1.0,28,8.195501324723047e-05,0.0018541178537439965,0.9980523034250656,8.195501324723047e-05,1.1623707943227742e-05,12,cot
0,proper_tags,93, probe,31925,1.0,user,29.0,93,1.0,29,0.001635682125777781,0.019280621423194817,0.9781185942238885,0.001635682125777781,0.0009651022271392061,12,cot
0,proper_tags,94, to,316,1.0,user,30.0,94,1.0,30,2.3268700233479267e-06,0.0001669610251999481,0.9998306152713682,2.3268700233479267e-06,9.683340838764327e-08,12,cot
0,proper_tags,95, someone,5693,1.0,user,31.0,95,1.0,31,0.0008378487670235339,0.0018130755867876228,0.9973262736258331,0.0008378487670235339,2.2802020355732754e-05,12,cot
0,proper_tags,96, who,1218,1.0,user,32.0,96,1.0,32,1.0704111364124177e-05,0.00015006633570051548,0.9998392279036074,1.0704111364124177e-05,1.6493278466891007e-09,12,cot
0,proper_tags,97, has,853,1.0,user,33.0,97,1.0,33,0.0001061319562202347,0.00038054508274264925,0.9995130714597013,0.0001061319562202347,2.5150133577842256e-07,12,cot
0,proper_tags,98, never,3779,1.0,user,34.0,98,1.0,34,2.4345387885649115e-05,0.00019698733440661148,0.999778438366942,2.4345387885649115e-05,2.289107659003605e-07,12,cot
0,proper_tags,99, seen,6177,1.0,user,35.0,99,1.0,35,3.8135249105495996e-05,0.00011678845374012472,0.9998429798069989,3.8135249105495996e-05,2.096490155237024e-06,12,cot
0,proper_tags,100, our,1039,1.0,user,36.0,100,1.0,36,1.1206217404489042e-05,0.00011218709457344302,0.999876605249054,1.1206217404489042e-05,1.4389680505861018e-09,12,cot
0,proper_tags,101, project,2993,1.0,user,37.0,101,1.0,37,0.0008102145332196677,0.00045003755047779434,0.9987367732999602,0.0008102145332196677,2.974616342444478e-06,12,cot
0,proper_tags,102,.,13,1.0,user,38.0,102,1.0,38,5.854141882334977e-05,0.00034865326766781525,0.9995927760179576,5.854141882334977e-05,2.9295551227226804e-08,12,cot
0,proper_tags,103, What,4614,1.0,user,39.0,103,1.0,39,1.921278225080265e-05,9.141081342676232e-05,0.9998893757009757,1.921278225080265e-05,7.033467226723507e-10,12,cot
0,proper_tags,104, should,1757,1.0,user,40.0,104,1.0,40,0.0005231301878866253,6.886490883172994e-05,0.9994080019192664,0.0005231301878866253,2.9840150928789567e-09,12,cot
0,proper_tags,105, the,290,1.0,user,41.0,105,1.0,41,0.0003399907361813832,0.001333974354739731,0.9977296704690347,0.0003399907361813832,0.0005963644400440289,12,cot
0,proper_tags,106, figure,11310,1.0,user,42.0,106,1.0,42,0.0003352346147680401,0.005731360780994916,0.9939273841986392,0.0003352346147680401,6.020405597959113e-06,12,cot
0,proper_tags,107, show,2356,1.0,user,43.0,107,1.0,43,0.0006402406744643532,0.004225596963659913,0.9951300240989108,0.0006402406744643532,4.138262965036707e-06,12,cot
0,proper_tags,108, first,1577,1.0,user,44.0,108,1.0,44,0.034697893685735434,0.021611477873147673,0.9430865387384121,0.034697893685735434,0.0006040897027047914,12,cot
