activation_site,layer,role_probe,assistant_axis_cosine
pre_mlp,8,user,0.06712257044942722
pre_mlp,8,assistant,-0.06712257044942722
pre_mlp,8,assistant_vs_other_roles,-0.06712257044942722
pre_mlp,10,user,0.05011764649445734
pre_mlp,10,assistant,-0.05011764649445734
pre_mlp,10,assistant_vs_other_roles,-0.05011764649445734
pre_mlp,12,system,0.014470083286122563
pre_mlp,12,user,0.048262617937675625
pre_mlp,12,cot,-0.024782164592613603
pre_mlp,12,assistant,-0.03611358871180355
pre_mlp,12,assistant_vs_other_roles,-0.03611358877700243
pre_mlp,14,user,0.09383329879473609
pre_mlp,14,assistant,-0.09383329879473609
pre_mlp,14,assistant_vs_other_roles,-0.09383329879473609
pre_mlp,16,system,-0.024482776344878415
pre_mlp,16,user,0.1175656770026397
pre_mlp,16,cot,-0.008229168560510546
pre_mlp,16,assistant,-0.06478547820311173
pre_mlp,16,assistant_vs_other_roles,-0.06478547837744197
pre_mlp,18,user,0.13206325364352486
pre_mlp,18,assistant,-0.13206325364352486
pre_mlp,18,assistant_vs_other_roles,-0.13206325364352486
block_output,8,user,0.022532446487377854
block_output,8,assistant,-0.022532446487377854
block_output,8,assistant_vs_other_roles,-0.022532446487377854
block_output,10,user,0.025269791344356876
block_output,10,assistant,-0.025269791344356876
block_output,10,assistant_vs_other_roles,-0.025269791344356876
block_output,12,system,0.003207485124220561
block_output,12,user,0.035813978955179786
block_output,12,cot,-0.012323718076694213
block_output,12,assistant,-0.027185312677657655
block_output,12,assistant_vs_other_roles,-0.027185312688485723
block_output,14,user,0.06909984705211905
block_output,14,assistant,-0.06909984705211905
block_output,14,assistant_vs_other_roles,-0.06909984705211905
block_output,16,system,-0.013823610536437242
block_output,16,user,0.09556666245215151
block_output,16,cot,-0.014425862592380495
block_output,16,assistant,-0.048803665118567055
block_output,16,assistant_vs_other_roles,-0.04880366493145075
block_output,18,user,0.10064347443956347
block_output,18,assistant,-0.10064347443956347
block_output,18,assistant_vs_other_roles,-0.10064347443956347
