activation_site,layer,n_personas,axis_pc1_cosine,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,axis_norm,pc1_alignment
pre_mlp,8,10,0.0980378750644916,0.3279520674971028,0.2490024528872255,0.11195411097441497,5.34394409621856,weak
pre_mlp,9,10,0.07678080200856584,0.3966781867240072,0.19950915775641334,0.10361917997953829,6.324783228636347,weak
pre_mlp,10,10,0.1494489603401953,0.40561621556840666,0.18032325528151127,0.10446229024244925,6.73016485516666,weak
pre_mlp,11,10,0.1523541676817436,0.41060031532244595,0.1705295547452271,0.11102580479726912,7.333398373758654,weak
pre_mlp,12,10,0.12654666669898143,0.40023696968692496,0.1851278730514772,0.10642632621958609,8.128258596667196,weak
pre_mlp,13,10,0.04236100036369277,0.38216373513571705,0.19191160934302715,0.11421107248302588,8.746341568568097,weak
pre_mlp,14,10,0.08800160086009297,0.3642047502057642,0.215648654061227,0.1105347854424356,9.30803138209633,weak
pre_mlp,15,10,0.16450281192913002,0.3399036046297344,0.23424743003464576,0.11513052922186058,9.659748518182393,weak
pre_mlp,16,10,0.19781131546123482,0.34044514738260273,0.2354333291639717,0.11403515668834213,8.991093884311447,weak
pre_mlp,17,10,0.2805016800277297,0.3441604104198319,0.22744040415272992,0.12221680744049924,9.649364288601996,weak
pre_mlp,18,10,0.38767219644800116,0.35018221158387597,0.24242217698546706,0.1203799730158697,9.646952996467942,weak
pre_mlp,19,10,0.33170757868022066,0.33622582006904106,0.23618707884721152,0.12488223573106223,9.167637803230926,weak
pre_mlp,20,10,0.26065948691523483,0.33303034276551435,0.23685910477900293,0.13062666178074628,9.118806424892231,weak
block_output,8,10,0.2334327898724085,0.35120555990047597,0.254846002965073,0.11601430379435512,98.27155013412188,weak
block_output,9,10,0.047099506278515994,0.3839661425978731,0.22242554749899776,0.10697857550376048,123.86685324310218,weak
block_output,10,10,0.042496791316761574,0.3957202801118832,0.210667553171401,0.1083107351035862,151.60913264971452,weak
block_output,11,10,0.08142788479622787,0.39941256876600545,0.20900133590359884,0.1070140857133453,175.91473791327738,weak
block_output,12,10,0.0604357306780283,0.3952439829932284,0.20250203966365254,0.10854832296121178,218.67355951395828,weak
block_output,13,10,0.014259612600529232,0.3887522271714851,0.20912931134365811,0.1096876248927723,259.66572799739015,weak
block_output,14,10,0.11019894339953934,0.3687333919418023,0.22627860862203245,0.1091370300517883,314.9183739836002,weak
block_output,15,10,0.2604264290922557,0.3417108418988051,0.25182100442928435,0.11321075298296572,397.24412990852824,weak
block_output,16,10,0.3223187885362449,0.34326594650692105,0.2506681138949015,0.10613273971366309,498.3059432245179,weak
block_output,17,10,0.4519173799052322,0.3473159503288884,0.24915294010725533,0.11708433971038283,713.8318241220786,weak
block_output,18,10,0.6170148930900115,0.350079875649954,0.2624747256609673,0.11424316678309565,946.5747010602388,moderate
block_output,19,10,0.4745072736628595,0.3263198456468814,0.2626022413465503,0.1251977082695262,1175.373908107065,weak
block_output,20,10,0.4417482600526241,0.3354522604023113,0.27030408412952156,0.12138442888120558,1458.9458558395058,weak
