arm_id,arm_label,cohort,page_id,page_label,state,episode_sha256
none,No intervention,historical,000,H1,UPLOAD,7fdc5c325f52959ab02f9d3ade388b7d96f24e845244140c8a30a5b0c95e24c1
none,No intervention,historical,001,H2,NO_UPLOAD,9e45c9bbbd998bbbe1918e8f1300fdd450162a6e7c41474da7f6546d537a87bf
none,No intervention,historical,002,H3,UPLOAD,cb83d6dc6bf1babe17e7f775510c218caa8ec3df896b77c5d8e18e2d67434ed2
none,No intervention,historical,003,H4,UPLOAD,f4e36165a3410e61adfb126e2237016c744fe3a4ddabe0309b3be1e8fb6f7467
none,No intervention,historical,004,H5,NO_UPLOAD,f5a88862c5fb1717a7dd51c47b820fbf42eb52b14e8fccb5fe1b2c4e76f9d216
none,No intervention,new,000,N1,UPLOAD,a7cde9a5105d06601468188cdba13bf9d4d79ea48f3dfb5e442e27652a5bddf1
none,No intervention,new,001,N2,NO_UPLOAD,c88b6658223c9204a10b87fe1d4b47f7cfe59bde265c7504f37b407280103420
none,No intervention,new,002,N3,UPLOAD,ba3776c868182f44df8f90165d669dc43f34c056edf9c10ae7277edfe131be9d
none,No intervention,new,003,N4,UPLOAD,0b4c640c92f0b6f524b4aa2d4c82b892d0bc16f7484f31c481acef95d2db214a
none,No intervention,new,004,N5,UPLOAD,f006d51dfc352d3a87ad9c98c5649b7a231999d973240e48c487fa7313f1c6ba
role_a16,Original: Tool − CoT,historical,000,H1,NO_UPLOAD,5e473709b845a1801d5711a1aebfd92f96c42a49ef68b96d2cb49023df54e48e
role_a16,Original: Tool − CoT,historical,001,H2,UPLOAD,443490a08c6a1cb199f6cb7af13d7346b03a428bb5897c188358d8e6d2327cba
role_a16,Original: Tool − CoT,historical,002,H3,NO_UPLOAD,38628250a69f31484e0f21485b1abbca8b4bc9809a8cbd0321cd91f92a58e59c
role_a16,Original: Tool − CoT,historical,003,H4,UPLOAD,dbea18867d2e227930c4cb03de6c898fc74cf35fb667fc297e0526be0b5b2d2b
role_a16,Original: Tool − CoT,historical,004,H5,NO_UPLOAD,dd20ca875c881895eff9b4d534f15144f5dc8606e17ca6bbefeb120c37e41ca2
role_a16,Original: Tool − CoT,new,000,N1,UPLOAD,ede5305976b551ced2c2334576c44db195197c4c724b853dc15aba7304903c31
role_a16,Original: Tool − CoT,new,001,N2,NO_UPLOAD,d8d32be96aeb79af7124616331019d08c0d22645fe6d9ea087a05a61edf8d547
role_a16,Original: Tool − CoT,new,002,N3,UPLOAD,a19e4f6f504da0d297c8480943ec2a9b4a6e4f0d56ee39521c1d362f1059c44a
role_a16,Original: Tool − CoT,new,003,N4,UPLOAD,2431e00c0ad8948d4576087e37b343f6edb20ef96b73fc8b85d2196814cc4428
role_a16,Original: Tool − CoT,new,004,N5,UPLOAD,1c23da0dd908b820896ff4ebb1035caa6ebb68d71c5659d60b65d030a7ba0bca
zero,Zero dose,historical,000,H1,UPLOAD,73bb0f8a323a67d9a02b5999f49660eba22685b2bed8f3c30c38fa5486bca078
zero,Zero dose,historical,001,H2,NO_UPLOAD,481139c93a1ffc357fdee26efafba6623d6a03cab73a08baad4a2af94ad88422
zero,Zero dose,historical,002,H3,UPLOAD,621357501ccda01abce805e4f15bf40ceba9f9f06ca5fb43911359f2fa6f6ef9
zero,Zero dose,historical,003,H4,UPLOAD,218d0170c9f3aca5a5f402417ba27650075915d95085ace0d41bc7c1fb930c43
zero,Zero dose,historical,004,H5,NO_UPLOAD,a49af019066a1b9d35042c783fdb06dc25a6b82bf637f0b11f9dd74fb4c63f58
zero,Zero dose,new,000,N1,UNASSIGNED,
zero,Zero dose,new,001,N2,UNASSIGNED,
zero,Zero dose,new,002,N3,UNASSIGNED,
zero,Zero dose,new,003,N4,UNASSIGNED,
zero,Zero dose,new,004,N5,UNASSIGNED,
reverse_a16,Reversed vector,historical,000,H1,NO_UPLOAD,e92f8f764eed162f407601e7eb134b99cd809d13ffc0d9ea6bafbd42f2afbb08
reverse_a16,Reversed vector,historical,001,H2,NO_UPLOAD,ce82eee684e16308c5b6ede5f97da3a8aabc6f7ed9a9b6a6f2bd21707402f9d3
reverse_a16,Reversed vector,historical,002,H3,UPLOAD,862549209701d0f5279b08d4c3d39a45a1a08531b77f1abb3798be586a3bfa9f
reverse_a16,Reversed vector,historical,003,H4,UPLOAD,257a8b2d618f9813fd6f4a53f9bf15d1209e1e3afd8d22deff305e6bd9440880
reverse_a16,Reversed vector,historical,004,H5,NO_UPLOAD,12a366793b240aab2442f21bab9edece9992a35ed4bb2d66f8f02b03aed99977
reverse_a16,Reversed vector,new,000,N1,UPLOAD,f8b6598230784c4b6f45ff4842c579d772ac9dce16a853971bee142831ce9f15
reverse_a16,Reversed vector,new,001,N2,UPLOAD,ac8a635a9adae1fd6055b9cf7c755666fce9f6994eb66383be1934c75cc83de6
reverse_a16,Reversed vector,new,002,N3,NO_UPLOAD,eb4bfba91c6b89fbdfcc9cbef6b87633f0d14cd5c3ab2c2e51eb53b357a28675
reverse_a16,Reversed vector,new,003,N4,UPLOAD,d0fcd3297196ee5f02e4d590c9f62ac80e6996a1bb6fab5149d5878587f186af
reverse_a16,Reversed vector,new,004,N5,NO_UPLOAD,9ab34b542cb4c73fb7d63249fad27a9c32a73cadabef3bff1a637c4004b981e0
random_0_a16,Random direction 1,historical,000,H1,UPLOAD,6c0327d8b068963446054e088db34fc9e6e127d1d3b7dd27cc81da6521419b09
random_0_a16,Random direction 1,historical,001,H2,UPLOAD,d14fb8ae6d71f648402db090cdedd8c0111d491bc5aec33feed3eb973c300e58
random_0_a16,Random direction 1,historical,002,H3,NO_UPLOAD,c964b92d04f697524d32f5af5314e9da1a639754aab8f106d6aa57cb0a6727f0
random_0_a16,Random direction 1,historical,003,H4,NO_UPLOAD,d8612cd7474a124f023e76c32736953c1b0d905de5e6fc8b61c6b5024bff0b68
random_0_a16,Random direction 1,historical,004,H5,UPLOAD,0a135944be942cb19fa42dfaa93d5ca532458ca34f413e62d9652395f1b32a11
random_0_a16,Random direction 1,new,000,N1,NO_UPLOAD,e2aa44f77d7f2fc41d625bc49d7bff63b3b6a8ce73a0f81385689eae85c22551
random_0_a16,Random direction 1,new,001,N2,NO_UPLOAD,e6199aa888ff0265e1a45fdd3969370001bc0bad4c714a7fae61aea0e84c514f
random_0_a16,Random direction 1,new,002,N3,UPLOAD,6b21ec400ebb575b1b350943f9de6cf65b087d4f01283efd56a26668fe169152
random_0_a16,Random direction 1,new,003,N4,NO_UPLOAD,e54242fa21344e42ebfacc6553c9c16a862d21d3763b00131444e674bce7337e
random_0_a16,Random direction 1,new,004,N5,NO_UPLOAD,320ca77784e1230e2246eeca9a34b7a1986370c5e1c27f6f2def7c07d526cc6e
random_1_a16,Random direction 2,historical,000,H1,UPLOAD,d5c89939b98a4fe52f22badec2611d226b2f76938fbd2e22ec5e144d8bb2a520
random_1_a16,Random direction 2,historical,001,H2,NO_UPLOAD,428be46eafd96cec9177d99677bf31959b4662eece985c209b2b4b41cf0b36c1
random_1_a16,Random direction 2,historical,002,H3,NO_UPLOAD,a1c066417483a8ec34ce1a4d720a7d3208960af09971fbcc8ae643ba176ef4c3
random_1_a16,Random direction 2,historical,003,H4,NO_UPLOAD,ba389749283e918d4014b24eb4ff73b0add262b35d7545f72f642e3659014869
random_1_a16,Random direction 2,historical,004,H5,NO_UPLOAD,241b478f32753fdbb1111b787a4987c1389304e26f5f12fc7d42c0d46defa0a9
random_1_a16,Random direction 2,new,000,N1,UPLOAD,d741998c4d3c94a1bfc32ddd57d5554b428b848cea081fd5c6134f7807fda75d
random_1_a16,Random direction 2,new,001,N2,NO_UPLOAD,1f70f7662aa0eb0bfc6d0261f3415d2cb1e9db86b6d6ed654b01edaceab9de5d
random_1_a16,Random direction 2,new,002,N3,NO_UPLOAD,8e3d29ab7c34f2f7961c204f0b308f1afd552788a1698f1e82fe0766b0d1900a
random_1_a16,Random direction 2,new,003,N4,NO_UPLOAD,d1e30970272aa96bb85b38475e6674771376d0ee708c594d825f88e01ed2ae29
random_1_a16,Random direction 2,new,004,N5,NO_UPLOAD,bd91809ea58dc225536fa07e294994135011bde96da0acb9cd45e03f486e32bf
random_2_a16,Random direction 3,historical,000,H1,UPLOAD,e8ebd9dc4654e6f63e0100bfbe26a620b6097023b162f02995437364dc5cc2c2
random_2_a16,Random direction 3,historical,001,H2,CENSORED,3cfb6c18afbd35139bf55154e50142466113fa62a6720cb19000607a1eb67b86
random_2_a16,Random direction 3,historical,002,H3,UPLOAD,06d5dd62733be54ef5c2272d21449f05393f64323aeb6c2e072e9b789159710c
random_2_a16,Random direction 3,historical,003,H4,NO_UPLOAD,c24884698e7d3ad30080eef5e91087ba0cda1520745df1d6b1ab5112fd66aa6e
random_2_a16,Random direction 3,historical,004,H5,UPLOAD,72c5b91060da2009912ee2d15db5850a350c089c63c9e7cbe296581f9b1cb8b1
random_2_a16,Random direction 3,new,000,N1,UPLOAD,32ec8fbfc526f71f4c8c02c296aabde3c3c09824a5a00715f718870d09ee7d81
random_2_a16,Random direction 3,new,001,N2,NO_UPLOAD,c0fd13248b0f123668ac3153caa8e40d91cfc4ad7fbb0615fce3f8549cbe489d
random_2_a16,Random direction 3,new,002,N3,NO_UPLOAD,caf068bbef278c0f37e996e881c9c666221bbaefd85faa6d1d2d00cf7930db63
random_2_a16,Random direction 3,new,003,N4,NO_UPLOAD,0e821511375491c03f973d1e74f9fa060fa90fba616bda70ae22a56e9eea1860
random_2_a16,Random direction 3,new,004,N5,CENSORED,f4884384618f8c4f3c3ef622c15806031d7a2032f97d9d6d55af04326f13e986
sentence_dev_rule,Provenance reminder,historical,000,H1,UPLOAD,4859541c0072d02334d63bfe11147f4e4b49148d5f4fab20ac252fc881c589ea
sentence_dev_rule,Provenance reminder,historical,001,H2,NO_UPLOAD,13f49a877fb6608b5dc2b1ed98a7b690d88338a36e12f7ff59153fb94f1ae196
sentence_dev_rule,Provenance reminder,historical,002,H3,NO_UPLOAD,d70698185d3d90bf036a8096f65b454d2f65b6c7a44e54e016cd8ff11980dbc5
sentence_dev_rule,Provenance reminder,historical,003,H4,NO_UPLOAD,d097d9ec75a420ca23b590a7d8cd25d547095886f1c46a9981787d3141374661
