item_id,template_id,order,construction,user_turn,layer,space,span,command,p_user,p_tool,p_system,p_assistant,p_cot,log_user_tool
t177_A_command_neutral,177,A,command,neutral,8,sucat,slot1,exfil,0.015779729167259008,0.24043063497262412,0.6735584796940695,0.003196407914983269,0.06703474374313134,-2.7237054756401426
t177_A_command_neutral,177,A,command,neutral,8,sucat,slot2,marker,0.019648137595504524,0.4922187360624472,0.4424076827863852,0.0033143530803499744,0.04241109443052361,-3.2209406482175
t177_A_command_neutral,177,A,command,neutral,8,sucat,user_turn,user_turn,0.818206281226594,0.049014276861271355,0.084346236314218,0.0026518973667011836,0.04578131833176258,2.8150028621619883
t177_A_command_neutral,177,A,command,neutral,8,sucat,wrapper,wrapper,0.018140160424147986,0.559377977184274,0.23314144262536005,0.006685529417617628,0.18265489579009062,-3.4286971230390955
t177_A_command_neutral,177,A,command,neutral,8,uat,slot1,exfil,0.06335975928995453,0.9264339482197996,,0.010206289213917936,,-2.6825138030486495
t177_A_command_neutral,177,A,command,neutral,8,uat,slot2,marker,0.03492303798363234,0.9589873333772023,,0.006089642264608604,,-3.312731141065898
t177_A_command_neutral,177,A,command,neutral,8,uat,user_turn,user_turn,0.877202975563705,0.11779744865270914,,0.00499957630712089,,2.007771795966712
t177_A_command_neutral,177,A,command,neutral,8,uat,wrapper,wrapper,0.05801958120851354,0.9289481038397008,,0.013032311072774147,,-2.773272314250167
t177_A_command_neutral,177,A,command,neutral,12,sucat,slot1,exfil,0.0336166085780562,0.4300291421441514,0.09818155225533343,0.028169779274679462,0.4100029116160557,-2.548832731059366
t177_A_command_neutral,177,A,command,neutral,12,sucat,slot2,marker,0.004739012406268254,0.5641129613543551,0.025682734441943467,0.006222214569182445,0.3992430846672505,-4.779425756642262
t177_A_command_neutral,177,A,command,neutral,12,sucat,user_turn,user_turn,0.3916340562684688,0.5139796578878304,0.038718841904881174,0.01650956700902606,0.03915787751031985,-0.2718558147256449
t177_A_command_neutral,177,A,command,neutral,12,sucat,wrapper,wrapper,0.009981966970719276,0.7808301069519736,0.032565467455424366,0.030419159098660616,0.14620329960757358,-4.359577431306193
t177_A_command_neutral,177,A,command,neutral,12,uat,slot1,exfil,0.054353781061659216,0.8907890754644988,,0.05485714850737332,,-2.7965934916734
t177_A_command_neutral,177,A,command,neutral,12,uat,slot2,marker,0.021294194671888058,0.9582519352436065,,0.02045387367446286,,-3.8066762388677455
t177_A_command_neutral,177,A,command,neutral,12,uat,user_turn,user_turn,0.4306965605336188,0.5497874742432032,,0.01951596393379873,,-0.24412798681462589
t177_A_command_neutral,177,A,command,neutral,12,uat,wrapper,wrapper,0.024137164621391673,0.9421481880274686,,0.033714647514782634,,-3.6644098211818217
