token_ix,token_id,output_id,output_prob,token,prompt_ix,sample_ix,condition,original_role,system,user,cot,assistant,content_token_ix
3,3575,3462,0.21,You,0,3,correct_tags,system,0.9985782,0.00034469427,0.0010752003,1.8742865e-06,0
4,553,6145,0.4, are,0,4,correct_tags,system,0.8614986,0.0069628814,0.13153854,2.1643405e-08,1
5,17554,162016,0.99, Chat,0,5,correct_tags,system,0.12937197,0.8625535,0.008074498,5.406912e-09,2
6,162016,11,0.62,GPT,0,6,correct_tags,system,0.014257905,0.025478479,0.9602629,7.36634e-07,3
7,11,261,0.78,",",0,7,correct_tags,system,0.01185805,0.0014190804,0.9867229,1.5683709e-08,4
8,261,4410,1.0, a,0,8,correct_tags,system,0.0020673084,0.0009023778,0.99703014,1.4833454e-07,5
9,4410,6439,1.0, large,0,9,correct_tags,system,0.035805058,0.1134368,0.8507294,2.8678936e-05,6
10,6439,2359,0.99, language,0,10,correct_tags,system,0.5487606,0.38978443,0.06094764,0.0005072832,7
11,2359,22203,0.92, model,0,11,correct_tags,system,0.0061253696,0.0538248,0.9400312,1.8560087e-05,8
12,22203,656,0.98, trained,0,12,correct_tags,system,0.28988197,0.005648134,0.7044202,4.9749815e-05,9
13,656,7788,1.0, by,0,13,correct_tags,system,0.80162436,0.0017351955,0.19663881,1.6717979e-06,10
14,7788,17527,1.0, Open,0,14,correct_tags,system,0.7658475,0.031303424,0.20284909,2.4319955e-09,11
15,17527,13,0.4,AI,0,15,correct_tags,system,0.27965584,0.062171422,0.6581721,6.5011767e-07,12
16,558,2167,0.71,".
",0,16,correct_tags,system,0.6692642,0.32192537,0.008810409,4.0436314e-11,13
17,87447,100594,0.73,Knowledge,0,17,correct_tags,system,0.05265762,0.86406577,0.0832753,1.3769175e-06,14
18,100594,25,0.72, cutoff,0,18,correct_tags,system,0.0075685196,0.59227437,0.400156,1.1173546e-06,15
19,25,220,1.0,:,0,19,correct_tags,system,0.65572095,0.33774632,0.006532726,5.6200067e-09,16
20,220,1323,0.71, ,0,20,correct_tags,system,0.33308846,0.666863,4.2100895e-05,6.426704e-06,17
21,1323,16,0.46,202,0,21,correct_tags,system,0.48995826,0.50981086,0.00022677399,4.222598e-06,18
22,19,50005,0.61,4,0,22,correct_tags,system,0.014142455,0.8518229,0.1340289,5.828212e-06,19
23,12,3173,0.42,-,0,23,correct_tags,system,0.01632749,0.8714105,0.11226197,3.7085815e-08,20
24,3218,12,0.37,06,0,24,correct_tags,system,0.001085453,0.9846651,0.014239656,9.8498285e-06,21
25,198,2167,0.62,"
",0,25,correct_tags,system,0.00042348774,0.99866045,0.0009160552,4.062069e-10,22
